Coneixement dels llenguatges de programació Java, Perl i Python de 0 (cap coneixement) a 100 (màxim domini del llenguatge)  / Conocimiento de los lenguajes de programación Java, Perl y Python de 0 (ningún conocimiento) a 100 (máximo dominio del lenguaje);;
Java;Perl;Python
50.27;75.85;20.30
50.51;74.04;19.68
49.58;74.32;20.41
50.09;75.04;20.00
50.27;74.68;20.43
50.72;74.93;19.78
49.22;75.19;20.13
50.09;74.34;20.21
51.37;75.79;20.29
49.93;75.53;19.71
50.58;75.64;20.38
48.92;75.19;19.71
50.21;75.20;19.62
49.81;75.29;19.31
50.69;74.40;20.25
48.50;75.59;19.63
48.77;73.36;19.88
48.56;73.22;20.42
49.39;74.44;19.58
50.79;75.42;20.19
48.67;74.29;20.04
51.03;75.38;20.57
49.73;74.91;20.22
52.20;75.38;20.28
50.32;73.83;19.86