PUORD (proporció llars amb ordinador / proporción de hogares que tienen ordenador);;;
PBA (proporció llars amb banda ampla / proporción de hogares que tienen banda ancha);;;
PUSUA (proporció habitants que han usat l’ordinador l’últim mes / proporción de habitantes que han utilizado el último mes el ordenador);;;
PEMAIL (proporció d’habitants que han usat el darrer mes el correu electrònic / proporción  de habitantes que han utilitzado el último mes el correo electrónico);;;
PUORD;PBA;PUSUA;PEMAIL
64,6188;39,6013;58,9384;45,4938
70,6249;45,6342;64,395;47,4064
64,2484;43,5412;60,4109;48,6097
71,2663;33,7878;52,4718;35,7512
57,6435;32,1987;50,8143;36,3483
64,7489;44,0721;61,5918;43,5046
66,7538;40,5427;56,4004;40,8341
60,4349;41,1113;61,7787;45,5469
60,0854;24,4543;51,2101;33,9002
58,7004;42,2022;57,772;42,7404
63,9532;51,1428;65,7906;50,6901
69,3859;41,2327;61,8521;44,8027
65,0687;49,9265;58,7896;49,5121
60,9454;40,1733;55,2561;40,1754
57,5605;32,8864;62,7563;39,3537
77,3762;41,3325;60,6667;45,946
59,2103;45,6849;63,6107;50,0219
64,2766;32,5023;53,0574;37,4951
67,4305;45,7729;60,4322;42,6967
72,1898;41,6095;62,6842;47,4671
75,7838;47,3866;65,0358;50,2751
63,6186;26,5791;54,3564;36,6763
61,9027;30,9928;59,2544;43,6985
65,3377;43,654;61,1756;53,0282
74,99;34,9094;51,7311;36,2705
65,1809;33,6252;56,6723;38,1024
65,3551;36,09;60,0942;41,2713
68,4741;47,8383;62,4837;49,5373
59,2229;35,9583;56,1627;42,2148
61,2693;30,5968;50,1595;35,9874
62,2441;39,0514;56,7887;41,2898
64,6091;42,3303;60,1923;45,2172
67,4023;38,2239;62,53;46,0961
65,2089;38,4087;62,6382;45,2434
62,7509;37,3973;54,9593;37,0856
71,8195;41,1555;65,9579;47,5231
56,7604;23,373;39,5549;25,8601
63,3384;34,6439;67,8957;45,6673
58,2328;34,372;56,5405;41,8765
64,2704;48,2378;63,2496;50,1087
62,503;46,8367;62,343;48,9784